23.10.2017 18:56:41: Lewis (25.6.40.189:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:2161 Epoch_Female_F
23.10.2017 20:04:52: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:1370 Epoch_Male_F
23.10.2017 20:04:53: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = false 2:1370 Epoch_Male_F
23.10.2017 20:04:54: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:1370 Epoch_Male_F
23.10.2017 20:17:46: Lewis (25.6.40.189:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:3693 Epoch_Male_F
23.10.2017 20:29:04: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:8073 Epoch_Male_F
23.10.2017 20:45:25: Lewis (192.168.0.16:2304) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:3840 Epoch_Male_F
24.10.2017 09:55:27: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "epoch_gm_enabled" = true 2:1677 Epoch_Male_F
24.10.2017 10:16:14: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_common_muteunitreasons" = ["isPlayer"] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:14: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_originalspeaker" = "male03gre" 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_pain" = 0 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_morphine" = 0 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bloodvolume" = 100 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_isunconscious" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_tourniquets" = [0,0,0,0,0,0] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_occludedmedications" = any 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_openwounds" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bandagedwounds" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_internalwounds" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_lastuniquewoundid" = 1 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_fractures" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_triagelevel" = 0 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_triagecard" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_ivbags" = any 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_bodypartstatus" = [0,0,0,0,0,0] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_addedtounitloop" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_incardiacarrest" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_haslostblood" = 0 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_isbleeding" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_haspain" = false 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_amountofrevivelives" = -1 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_painsuppress" = 0 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_allusedmedication" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_alllogs" = [] 2:1164 VirtualMan_EPOCH
24.10.2017 10:16:15: Lewis (127.0.0.1:2316) fa1e4e06cf32ec967a93411dd8076152 - #0 "ace_medical_pain" = 0 2:1164 VirtualMan_EPOCH
